folder_name,file_name,size_bytes,server_modified,path_display,id
2025_06_30,0001910462_0001376474_25_000712_2025_06_30.parquet,15334,2025-12-14T11:22:59,/Nizar/sec_forms/2025_06_30/0001910462_0001376474_25_000712_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7WQ
2025_06_30,0001910411_0001910411_25_000004_2025_06_30.parquet,32889,2025-12-14T11:23:01,/Nizar/sec_forms/2025_06_30/0001910411_0001910411_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7Wg
2025_06_30,0001910395_0000948046_25_000115_2025_06_30.parquet,10805,2025-12-14T11:23:03,/Nizar/sec_forms/2025_06_30/0001910395_0000948046_25_000115_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7Ww
2025_06_30,0001910389_0001951757_25_001022_2025_06_30.parquet,16801,2025-12-14T11:23:05,/Nizar/sec_forms/2025_06_30/0001910389_0001951757_25_001022_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7XA
2025_06_30,0001910370_0000930413_25_002128_2025_06_30.parquet,18684,2025-12-14T11:23:07,/Nizar/sec_forms/2025_06_30/0001910370_0000930413_25_002128_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7XQ
2025_06_30,0001910364_0001910364_25_000003_2025_06_30.parquet,18084,2025-12-14T11:23:09,/Nizar/sec_forms/2025_06_30/0001910364_0001910364_25_000003_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7Xg
2025_06_30,0001910273_0001951757_25_000952_2025_06_30.parquet,22682,2025-12-14T11:23:12,/Nizar/sec_forms/2025_06_30/0001910273_0001951757_25_000952_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7Xw
2025_06_30,0001910248_0001085146_25_004321_2025_06_30.parquet,20166,2025-12-14T11:23:14,/Nizar/sec_forms/2025_06_30/0001910248_0001085146_25_004321_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7YA
2025_06_30,0001910185_0001910185_25_000004_2025_06_30.parquet,14454,2025-12-14T11:23:16,/Nizar/sec_forms/2025_06_30/0001910185_0001910185_25_000004_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7YQ
2025_06_30,0001910183_0001951757_25_000575_2025_06_30.parquet,23802,2025-12-14T11:23:19,/Nizar/sec_forms/2025_06_30/0001910183_0001951757_25_000575_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7Yg
2025_06_30,0001910180_0001951757_25_000953_2025_06_30.parquet,15402,2025-12-14T11:23:21,/Nizar/sec_forms/2025_06_30/0001910180_0001951757_25_000953_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7Yw
2025_06_30,0001910179_0001910179_25_000006_2025_06_30.parquet,16266,2025-12-14T11:23:23,/Nizar/sec_forms/2025_06_30/0001910179_0001910179_25_000006_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7ZA
2025_06_30,0001910168_0001910168_25_000003_2025_06_30.parquet,24955,2025-12-14T11:23:25,/Nizar/sec_forms/2025_06_30/0001910168_0001910168_25_000003_2025_06_30.parquet,id:q8Gozjz1MYAAAAAAAAJ7ZQ
